"City"|"Code"|"Name"|"Country"|"Airports"
"Milan"|"MIL"|"Milan"|"IT"|"IMR  IPR  LIN  MXP  XIK  XNC"
"Rome"|"ROM"|"Rome"|"IT"|"CIA  FCO  IRR  IRT  XRJ"
"Paris"|"PAR"|"Paris"|"FR"|"CDG  DLP  JDP  ORY  VIY  XCR  XEX  XGB  XHP  XJY  XPG"
"Barcellona"|"BCN"|"Barcelona"|"ES"|"BCN  XJB  YJB  YJD"
"Brussells"|"BRU"|"Brussels"|"BE"|"BRU  CRL  ZYR"
"Berlin"|"BER"|"Berlin"|"DE"|"BER  QPP  QWB  QWC  SXF  THF  TXL"
"Frankfurt"|"FRA"|"Frankfurt"|"DE"|"FRA  HHN  QGV  ZRB"
"Warsaw"|"WAW"|"Warsaw"|"PL"|"RWA  WAW  WMI"
"London"|"LON"|"London"|"GB"|"BQH  LGW  LHR  QQK  QQP  QQS  QQU  QQW  STN  WXF  XOF  XQE  ZEP  ZLS"
"Moscow"|"MOW"|"Moscow"|"RU"|"BKA  DME  JQF  SVO  VKO  XRK  ZKD"
"Kiev"|"IEV"|"Kiev"|"UA"|"IEV  KBP  QOF  QOH"
"New York"|"NYC"|"New York"|"US"|"NY"|"EWR  FLU  JFK  JRA  JRB  JRE  LGA  NBP  NES  NWK  NWS  QNY  ZME  ZRP  ZYP"
"Tokyo"|"TYO"|"Tokyo"|"JP"|"HND  NRT  OKO"
"Shanghai"|"SHA"|"Shanghai"|"CN"|"PVG  SHA"
"Istanbul"|"IST"|"Istanbul"|"TR"|"IST  SAW"
"Amsterdam"|"AMS"|"Amsterdam"|"NL"|"AMS  ZYA"
"Miami"|"MIA"|"Miami"|"US"|"FL"|"HWO  JDM  MIA  MPB  OPF  TMB  TNT  ZFT"
"Toronto"|"YTO"|"Toronto"|"CA"|"ON"|"XLQ  YBZ  YKZ  YTZ  YYZ"
"San Paolo"|"SAO"|"Sao Paulo"|"BR"|"GRU  VCP"
"Mexico"|"MEX"|"Mexico City"|"MX"|"AZP  MEX  NLU"